Entidad,Homicidios,Fecha
Aguascalientes,0,2020-11-08
Baja California,5,2020-11-08
Baja California Sur,0,2020-11-08
Campeche,1,2020-11-08
Chiapas,0,2020-11-08
Chihuahua,2,2020-11-08
Ciudad de México,2,2020-11-08
Coahuila,2,2020-11-08
Colima,1,2020-11-08
Durango,0,2020-11-08
Estado de México,13,2020-11-08
Guanajuato,8,2020-11-08
Guerrero,6,2020-11-08
Hidalgo,0,2020-11-08
Jalisco,4,2020-11-08
Michoacán,6,2020-11-08
Morelos,2,2020-11-08
Nayarit,0,2020-11-08
Nuevo León,3,2020-11-08
Oaxaca,1,2020-11-08
Puebla,0,2020-11-08
Querétaro,1,2020-11-08
Quintana Roo,3,2020-11-08
San Luis Potosí,2,2020-11-08
Sinaloa,0,2020-11-08
Sonora,2,2020-11-08
Tabasco,1,2020-11-08
Tamaulipas,0,2020-11-08
Tlaxcala,2,2020-11-08
Veracruz,0,2020-11-08
Yucatán,1,2020-11-08
Zacatecas,6,2020-11-08
