Entidad,Homicidios,Fecha
Puebla,1.0,2019-08-14
Querétaro,0.0,2019-08-14
Quintana Roo,4.0,2019-08-14
San Luis Potosí,2.0,2019-08-14
Sinaloa,2.0,2019-08-14
Sonora,0.0,2019-08-14
Tabasco,1.0,2019-08-14
Tamaulipas,3.0,2019-08-14
Tlaxcala,0.0,2019-08-14
Veracruz,7.0,2019-08-14
Yucatán,0.0,2019-08-14
Zacatecas,2.0,2019-08-14
Total,82.0,2019-08-14
Aguascalientes,0.0,2019-08-15
Baja California,5.0,2019-08-15
Baja California Sur,0.0,2019-08-15
Campeche,0.0,2019-08-15
Chiapas,1.0,2019-08-15
Chihuahua,6.0,2019-08-15
Ciudad de México,2.0,2019-08-15
Coahuila,0.0,2019-08-15
Colima,0.0,2019-08-15
Durango,2.0,2019-08-15
Estado de México,6.0,2019-08-15
Guanajuato,10.0,2019-08-15
Guerrero,5.0,2019-08-15
Hidalgo,1.0,2019-08-15
Jalisco,5.0,2019-08-15
Michoacán,4.0,2019-08-15
Morelos,4.0,2019-08-15
Nayarit,0.0,2019-08-15
Nuevo León,1.0,2019-08-15
Oaxaca,2.0,2019-08-15
Puebla,3.0,2019-08-15
Querétaro,0.0,2019-08-15
Quintana Roo,0.0,2019-08-15
San Luis Potosí,0.0,2019-08-15
Sinaloa,4.0,2019-08-15
Sonora,2.0,2019-08-15
Tabasco,1.0,2019-08-15
Tamaulipas,7.0,2019-08-15
Tlaxcala,0.0,2019-08-15
Veracruz,2.0,2019-08-15
Yucatán,0.0,2019-08-15
Zacatecas,1.0,2019-08-15
Total,74.0,2019-08-15
Aguascalientes,0.0,2019-08-16
Baja California,7.0,2019-08-16
Baja California Sur,0.0,2019-08-16
Campeche,0.0,2019-08-16
Chiapas,2.0,2019-08-16
Chihuahua,2.0,2019-08-16
Ciudad de México,3.0,2019-08-16
Coahuila,0.0,2019-08-16
Colima,1.0,2019-08-16
Durango,0.0,2019-08-16
Estado de México,7.0,2019-08-16
Guanajuato,8.0,2019-08-16
Guerrero,3.0,2019-08-16
Hidalgo,0.0,2019-08-16
