Entidad,Homicidios,Fecha
Aguascalientes,0.0,2020-07-01
Baja California,3.0,2020-07-01
Baja California Sur,0.0,2020-07-01
Campeche,0.0,2020-07-01
Chiapas,0.0,2020-07-01
Chihuahua,2.0,2020-07-01
Ciudad de México,3.0,2020-07-01
Coahuila,0.0,2020-07-01
Colima,0.0,2020-07-01
Durango,1.0,2020-07-01
Estado de México,6.0,2020-07-01
Guanajuato,33.0,2020-07-01
Guerrero,5.0,2020-07-01
Hidalgo,0.0,2020-07-01
Jalisco,2.0,2020-07-01
Michoacán,8.0,2020-07-01
Morelos,0.0,2020-07-01
Nayarit,0.0,2020-07-01
Nuevo León,1.0,2020-07-01
Oaxaca,2.0,2020-07-01
Puebla,8.0,2020-07-01
Querétaro,0.0,2020-07-01
Quintana Roo,1.0,2020-07-01
San Luis Potosí,3.0,2020-07-01
Sinaloa,1.0,2020-07-01
Sonora,2.0,2020-07-01
Tabasco,0.0,2020-07-01
Tamaulipas,5.0,2020-07-01
Tlaxcala,0.0,2020-07-01
Veracruz,0.0,2020-07-01
Yucatán,0.0,2020-07-01
Zacatecas,6.0,2020-07-01
Total,92.0,2020-07-01
