Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Mexicali,2.0,2.0,0.0,0.0,2020-11-01
Baja California,Tijuana,1.0,1.0,0.0,0.0,2020-11-01
Chihuahua,Juárez,4.0,3.0,1.0,0.0,2020-11-01
Ciudad de México,Cuauhtémoc,1.0,1.0,0.0,0.0,2020-11-01
Ciudad de México,Iztapalapa,2.0,1.0,1.0,0.0,2020-11-01
Ciudad de México,Xochimilco,1.0,1.0,0.0,0.0,2020-11-01
Coahuila,Torreón,3.0,2.0,0.0,1.0,2020-11-01
Colima,Tecomán,1.0,1.0,0.0,0.0,2020-11-01
Guanajuato,Apaseo el Alto,2.0,2.0,0.0,0.0,2020-11-01
Guanajuato,Celaya,1.0,1.0,0.0,0.0,2020-11-01
Guanajuato,Cortazar,1.0,1.0,0.0,0.0,2020-11-01
Guanajuato,León,1.0,1.0,0.0,0.0,2020-11-01
Guanajuato,Pénjamo,1.0,1.0,0.0,0.0,2020-11-01
Guanajuato,Yuriria,1.0,1.0,0.0,0.0,2020-11-01
Guerrero,Cuajinicuilapa,1.0,1.0,0.0,0.0,2020-11-01
Guerrero,Ometepec,2.0,2.0,0.0,0.0,2020-11-01
Jalisco,"Ojuelos de 
Jalisco",1.0,1.0,0.0,0.0,2020-11-01
Michoacán,Morelia,2.0,1.0,1.0,0.0,2020-11-01
Michoacán,Puruándiro,6.0,6.0,0.0,0.0,2020-11-01
Michoacán,Uruapan,1.0,1.0,0.0,0.0,2020-11-01
Michoacán,"Álvaro 
Obregón",1.0,0.0,0.0,1.0,2020-11-01
Morelos,Temixco,1.0,1.0,0.0,0.0,2020-11-01
Morelos,Tlaquiltenango,1.0,1.0,0.0,0.0,2020-11-01
Estado de México,Chalco,1.0,0.0,0.0,1.0,2020-11-01
Estado de México,Ixtapaluca,1.0,1.0,0.0,0.0,2020-11-01
Estado de México,Nezahualcóyotl,1.0,1.0,0.0,0.0,2020-11-01
Oaxaca,"Oaxaca de 
Juárez",1.0,1.0,0.0,0.0,2020-11-01
Oaxaca,"Santo 
Domingo 
Tehuantepec",1.0,1.0,0.0,0.0,2020-11-01
Puebla,Quecholac,3.0,0.0,0.0,3.0,2020-11-01
Querétaro,Querétaro,1.0,1.0,0.0,0.0,2020-11-01
Quintana Roo,Benito Juárez,3.0,3.0,0.0,0.0,2020-11-01
Quintana Roo,Tulum,2.0,2.0,0.0,0.0,2020-11-01
Sinaloa,Badiraguato,1.0,1.0,0.0,0.0,2020-11-01
Sinaloa,Culiacán,2.0,2.0,0.0,0.0,2020-11-01
Sinaloa,Mazatlán,1.0,0.0,1.0,0.0,2020-11-01
Sonora,Caborca,1.0,0.0,1.0,0.0,2020-11-01
Veracruz,Coatzacoalcos,1.0,0.0,0.0,1.0,2020-11-01
Veracruz,Tierra Blanca,1.0,1.0,0.0,0.0,2020-11-01
Veracruz,Tlapacoyan,3.0,3.0,0.0,0.0,2020-11-01
Zacatecas,Fresnillo,1.0,1.0,0.0,0.0,2020-11-01
