Entidad,Municipio,Homicidios,Hombre,Mujer,No Identificado,Fecha
Baja California,Ensenada,3.0,2.0,0.0,1.0,2020-09-01
Baja California,Tecate,3.0,3.0,0.0,0.0,2020-09-01
Baja California,Tijuana,10.0,9.0,0.0,1.0,2020-09-01
Chihuahua,Juárez,2.0,2.0,0.0,0.0,2020-09-01
Ciudad de México,Iztapalapa,2.0,1.0,1.0,0.0,2020-09-01
Colima,Colima,1.0,0.0,0.0,1.0,2020-09-01
Colima,Manzanillo,1.0,0.0,0.0,1.0,2020-09-01
Guanajuato,Celaya,6.0,5.0,0.0,1.0,2020-09-01
Guanajuato,León,1.0,1.0,0.0,0.0,2020-09-01
Guanajuato,Romita,2.0,0.0,0.0,2.0,2020-09-01
Guanajuato,Salamanca,1.0,1.0,0.0,0.0,2020-09-01
Michoacán,Morelia,1.0,0.0,1.0,0.0,2020-09-01
Michoacán,Zamora,1.0,1.0,0.0,0.0,2020-09-01
Morelos,Tepoztlán,1.0,1.0,0.0,0.0,2020-09-01
Estado de México,"Naucalpan de 
Juárez",1.0,0.0,0.0,1.0,2020-09-01
Estado de México,"Nicolás 
Romero",1.0,1.0,0.0,0.0,2020-09-01
Nuevo León,Monterrey,1.0,1.0,0.0,0.0,2020-09-01
Nuevo León,"San Pedro 
Garza García",1.0,1.0,0.0,0.0,2020-09-01
Oaxaca,"Santo 
Domingo 
Tehuantepec",1.0,1.0,0.0,0.0,2020-09-01
Puebla,Huaquechula,1.0,1.0,0.0,0.0,2020-09-01
Quintana Roo,Benito Juárez,1.0,0.0,1.0,0.0,2020-09-01
Quintana Roo,Tulum,1.0,0.0,0.0,1.0,2020-09-01
San Luis Potosí,"San Luis 
Potosí",2.0,2.0,0.0,0.0,2020-09-01
Sinaloa,Culiacán,4.0,0.0,0.0,4.0,2020-09-01
Sonora,Cajeme,1.0,1.0,0.0,0.0,2020-09-01
Sonora,Guaymas,3.0,3.0,0.0,0.0,2020-09-01
Tabasco,Centro,1.0,1.0,0.0,0.0,2020-09-01
Tabasco,Cunduacán,1.0,0.0,1.0,0.0,2020-09-01
Tabasco,Cárdenas,1.0,1.0,0.0,0.0,2020-09-01
Tamaulipas,El Mante,1.0,1.0,0.0,0.0,2020-09-01
Veracruz,Astacinga,2.0,1.0,1.0,0.0,2020-09-01
Yucatán,Mérida,1.0,1.0,0.0,0.0,2020-09-01
Zacatecas,Fresnillo,1.0,1.0,0.0,0.0,2020-09-01
